99;0
98;1
97;2
96;3
95;4
94;5
93;6
92;7
91;8
90;9
89;10
88;11
87;12
86;13
85;14
84;17
83;18
82;19
81;23
80;25
79;26
78;27
77;28
76;29
75;30
74;32
73;33
72;34
71;35
70;36
69;38
68;40
67;42
66;43
65;44
64;45
63;46
62;47
61;48
60;49
59;51
58;53
57;54
56;56
55;57
54;61
53;62
52;63
51;67
50;68
49;69
48;71
47;74
46;77
45;78
44;79
43;84
42;87
41;88
40;89
39;91
38;94
37;98
36;103
35;107
34;110
33;112
32;115
31;118
30;122
29;124
28;133
27;134
26;137
25;139
24;141
23;144
22;148
21;149
20;150
19;152
18;153
17;154
16;169
15;173
14;176
13;177
12;180
11;196
10;198
9;208
8;215
7;219
6;258
5;261
4;275
3;300
2;305
1;313
0;388
99;0
98;1
97;2
96;3
95;4
94;5
93;6
92;7
91;8
90;9
89;10
88;11
87;12
86;13
85;15
84;16
83;17
82;18
81;19
80;20
79;21
78;22
77;23
76;25
75;26
74;29
73;30
72;31
71;33
70;35
69;36
68;38
67;41
66;42
65;43
64;44
63;45
62;46
61;47
60;55
59;58
58;59
57;60
56;61
55;63
54;64
53;66
52;67
51;68
50;71
49;73
48;76
47;77
46;78
45;81
44;84
43;85
42;88
41;89
40;91
39;92
38;93
37;95
36;96
35;101
34;110
33;112
32;114
31;119
30;120
29;123
28;124
27;127
26;130
25;132
24;133
23;139
22;145
21;146
20;150
19;160
18;168
17;169
16;170
15;174
14;180
13;182
12;193
11;203
10;223
9;226
8;244
7;294
6;295
5;318
4;349
3;411
2;417
1;446
0;581
99;0
98;1
97;2
96;3
95;4
94;5
93;6
92;7
91;8
90;9
89;10
88;11
87;13
86;14
85;15
84;16
83;17
82;19
81;21
80;23
79;25
78;26
77;27
76;28
75;30
74;31
73;32
72;33
71;34
70;35
69;38
68;40
67;41
66;42
65;43
64;45
63;47
62;48
61;49
60;50
59;52
58;53
57;54
56;55
55;57
54;59
53;61
52;62
51;63
50;66
49;67
48;68
47;71
46;72
45;78
44;79
43;82
42;83
41;86
40;87
39;89
38;91
37;98
36;101
35;108
34;109
33;110
32;113
31;122
30;124
29;126
28;139
27;146
26;148
25;153
24;155
23;157
22;160
21;172
20;181
19;184
18;187
17;189
16;197
15;198
14;212
13;213
12;217
11;219
10;228
9;229
8;249
7;261
6;270
5;278
4;282
3;306
2;393
1;435
0;436
99;0
98;1
97;2
96;3
95;4
94;5
93;6
92;7
91;8
90;9
89;10
88;11
87;12
86;13
85;14
84;15
83;17
82;18
81;19
80;21
79;23
78;24
77;25
76;26
75;27
74;28
73;29
72;30
71;31
70;32
69;33
68;34
67;35
66;36
65;37
64;39
63;43
62;49
61;50
60;52
59;55
58;57
57;58
56;59
55;65
54;67
53;69
52;70
51;72
50;76
49;77
48;79
47;80
46;81
45;82
44;86
43;88
42;94
41;96
40;97
39;99
38;108
37;110
36;113
35;114
34;117
33;118
32;121
31;122
30;123
29;124
28;134
27;136
26;143
25;147
24;151
23;152
22;163
21;165
20;169
19;185
18;187
17;193
16;209
15;210
14;214
13;220
12;226
11;229
10;230
9;250
8;267
7;271
6;289
5;349
4;359
3;391
2;435
1;505
0;616
99;0
98;1
97;2
96;3
95;4
94;5
93;6
92;7
91;8
90;10
89;11
88;12
87;14
86;15
85;16
84;17
83;18
82;19
81;20
80;21
79;22
78;23
77;24
76;25
75;28
74;29
73;33
72;34
71;39
70;40
69;41
68;42
67;43
66;44
65;46
64;48
63;50
62;51
61;53
60;55
59;57
58;58
57;60
56;61
55;62
54;66
53;67
52;70
51;71
50;77
49;78
48;80
47;81
46;86
45;87
44;88
43;90
42;92
41;95
40;97
39;104
38;106
37;107
36;108
35;114
34;116
33;118
32;121
31;123
30;125
29;131
28;135
27;137
26;139
25;140
24;146
23;155
22;156
21;157
20;158
19;165
18;166
17;167
16;168
15;176
14;177
13;179
12;181
11;185
10;195
9;215
8;233
7;255
6;256
5;285
4;294
3;380
2;418
1;494
0;534
99;0
98;1
97;2
96;5
95;6
94;7
93;8
92;9
91;10
90;11
89;12
88;13
87;14
86;15
85;16
84;17
83;19
82;20
81;21
80;22
79;23
78;25
77;26
76;27
75;28
74;29
73;30
72;31
71;34
70;35
69;36
68;37
67;42
66;43
65;44
64;45
63;46
62;47
61;48
60;49
59;52
58;54
57;58
56;60
55;62
54;65
53;68
52;70
51;71
50;77
49;78
48;81
47;82
46;84
45;85
44;88
43;89
42;90
41;92
40;94
39;97
38;98
37;100
36;103
35;104
34;105
33;108
32;109
31;111
30;112
29;114
28;117
27;146
26;150
25;153
24;160
23;164
22;170
21;197
20;211
19;221
18;225
17;226
16;227
15;231
14;232
13;233
12;235
11;245
10;255
9;263
8;324
7;342
6;344
5;358
4;374
3;375
2;484
1;518
0;590
99;0
98;1
97;2
96;3
95;5
94;6
93;7
92;8
91;9
90;10
89;11
88;12
87;13
86;14
85;15
84;16
83;18
82;19
81;21
80;22
79;25
78;26
77;27
76;28
75;29
74;30
73;31
72;32
71;33
70;34
69;36
68;40
67;41
66;42
65;43
64;45
63;47
62;48
61;50
60;51
59;52
58;53
57;55
56;59
55;61
54;62
53;63
52;64
51;67
50;68
49;72
48;74
47;77
46;79
45;82
44;91
43;92
42;95
41;98
40;101
39;103
38;104
37;106
36;108
35;112
34;119
33;122
32;124
31;127
30;129
29;131
28;132
27;135
26;138
25;148
24;156
23;164
22;165
21;172
20;177
19;179
18;181
17;192
16;195
15;208
14;214
13;225
12;226
11;237
10;239
9;261
8;262
7;263
6;311
5;314
4;326
3;360
2;432
1;451
0;524
99;0
98;1
97;2
96;3
95;4
94;5
93;6
92;7
91;8
90;10
89;11
88;12
87;13
86;14
85;15
84;16
83;17
82;18
81;19
80;20
79;21
78;22
77;23
76;24
75;26
74;27
73;28
72;29
71;30
70;31
69;32
68;33
67;35
66;36
65;37
64;39
63;41
62;43
61;44
60;47
59;48
58;49
57;51
56;53
55;56
54;57
53;60
52;61
51;62
50;66
49;68
48;69
47;71
46;76
45;79
